# Table EV1 from 									
# https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5327727/#msb167233-sup-0002									
ORF	Symbol	Etymology	SGDID	Note	Description	Chr	StartBp	EndBP	Chain
YER087W	AIM10		S000000889	Respiration	Protein with similarity to tRNA synthetases; non-tagged protein is detected in purified mitochondria; null mutant is viable and displays elevated frequency of mitochondrial genome loss	V	330576	332306	+
YER093C-A	AIM11	Altered Inheritance rate of Mitochondria	S000002960	Respiration	"Protein of unknown function; null mutant is viable but shows increased loss of mitochondrial genome and synthetic interaction with prohibitin (phb1); contains an intron; SWAT-GFP and mCherry fusion proteins localize to the mitochondria; YER093C-A has a paralog, YBL059W, that arose from the whole genome duplication"	V	347912	348400	-
YJL046W	AIM22		S000003582	Respiration	Putative lipoate-protein ligase; required along with Lip2 and Lip5 for lipoylation of Lat1p and Kgd2p; similar to E. coli LplA; null mutant displays reduced frequency of mitochondrial genome loss	X	352386	353615	+
YKL037W	AIM26	Altered Inheritance rate of Mitochondria	S000001520	Respiration	Protein of unknown function; null mutant is viable and displays elevated frequency of mitochondrial genome loss; null mutation confers sensitivity to tunicamycin and DTT	XI	369365	369721	+
YPL158C	AIM44	Altered Inheritance rate of Mitochondria	S000006079	Respiration	Protein that regulates Cdc42p and Rho1p; functions in the late steps of cytokinesis and cell separation; sustains Rho1p at the cell division site after actomyosin ring contraction; inhibits the activation of Cdc42-Cla4 at the cell division site to prevent budding inside the old bud neck; transcription is regulated by Swi5p; null mutant displays elevated frequency of mitochondrial genome loss; relocalizes from bud neck to cytoplasm upon DNA replication stress	XVI	252034	254310	-
YLR423C	APG17	AuTophaGy related	S000004415	Respiration	"Scaffold protein responsible for phagophore assembly site organization; regulatory subunit of an autophagy-specific complex that includes Atg1p and Atg13p; stimulates Atg1p kinase activity; human ortholog RB1CC1/FIP200 interacts with p53, which inhibits autophagy in human cells"	XII	971917	973170	-
YBL019W	APN2	APurinic/apyrimidinic eNdonuclease	S000000115	Respiration	Class II abasic (AP) endonuclease involved in repair of DNA damage; homolog of human HAP1 and E. coli exoIII	II	184353	185915	+
YHR013C	ARD1	ARrest Defective	S000001055	Respiration	"Subunit of protein N-terminal acetyltransferase NatA; NatA comprises Nat1p, Ard1p, Nat5p; acetylates many proteins to influence telomeric silencing, cell cycle, heat-shock resistance, mating, sporulation, early stages of mitophagy; protein abundance increases under DNA replication stress; mutations in human homolog X-linked NAA10 lead to Ogden syndrome (S37P) and intellectual disability (R116W); expression of human NAA10 and NAA15 can complement ard1 nat1 double mutant"	VIII	130730	131446	-
YPL051W	ARL3	ADP-Ribosylation factor-Like	S000005972	Respiration	"ARF-like small GTPase of the RAS superfamily; required for recruitment of Arl1p, a GTPase that regulates membrane traffic, to the Golgi apparatus; NatC-catalyzed N-terminal acetylation regulates Golgi membrane association mediated by interaction with membrane receptor, Sys1p; similar to ADP-ribosylation factor and orthologous to mammalian ARFRP1"	XVI	459963	460559	+
YMR033W	ARP9		S000004636	Respiration	Component of both the SWI/SNF and RSC chromatin remodeling complexes; actin-related protein involved in transcriptional regulation	XIII	337788	339277	+
YBL099W	ATP1	ATP synthase	S000000195	Respiration	"Alpha subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated; N-terminally propionylated in vivo"	II	37053	38690	+
YLR393W	ATP10		S000004385	Respiration	Assembly factor for the F0 sector of mitochondrial F1F0 ATP synthase; mitochondrial inner membrane protein; interacts genetically with ATP6	XII	907079	907918	+
YNL315C	ATP11	ATP synthase	S000005259	Respiration	Molecular chaperone; required for the assembly of alpha and beta subunits into the F1 sector of mitochondrial F1F0 ATP synthase; N-terminally propionylated in vivo	XIV	43324	44280	-
YJL180C	ATP12	ATP synthase	S000003716	Respiration	Assembly factor for F1 sector of mitochondrial F1F0 ATP synthase; conserved protein; required for assembly of alpha and beta subunits into F1 sector of mitochondrial F1F0 ATP synthase; human homolog ATPAF2 can complement yeast atp12 mutant; mutation of human homolog reduces active ATP synthase levels and is associated with the disorder ATPAF2 deficiency	X	87583	88560	-
YLR295C	ATP14		S000004286	Respiration	"Subunit h of the F0 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; protein abundance increases in response to DNA replication stress"	XII	721999	722373	-
YPL271W	ATP15		S000006192	Respiration	"Epsilon subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated"	XVI	30079	30267	+
YDR377W	ATP17	ATP synthase	S000002785	Respiration	"Subunit f of the F0 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis"	IV	1228611	1228916	+
YML081C-A	ATP18	ATP synthase	S000007247	Respiration	"Subunit of the mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; termed subunit I or subunit j; does not correspond to known ATP synthase subunits in other organisms"	XIII	103983	104162	-
YJR121W	ATP2	ATP synthase	S000003882	Respiration	"Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated"	X	647607	649142	+
YNR020C	ATP23		S000005303	Respiration	"Putative metalloprotease of the mitochondrial inner membrane; required for processing of Atp6p; has an additional role in assembly of the F0 sector of the F1F0 ATP synthase complex; substrate of the Mia40p-Erv1p disulfide relay system, and folding is assisted by Mia40p"	XIV	667410	668222	-
YMR098C	ATP25	ATPase	S000004704	Respiration	Mitochondrial protein required for the stability of Oli1p (Atp9p) mRNA; also required for the Oli1p ring formation; YMR098C is not an essential gene	XIII	460771	462609	-
YBR039W	ATP3		S000000243	Respiration	"Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis"	II	315575	316510	+
YPL078C	ATP4		S000005999	Respiration	"Subunit b of the stator stalk of mitochondrial F1F0 ATP synthase; ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; contributes to the oligomerization of the complex, which in turn determines the shape of inner membrane cristae; phosphorylated"	XVI	408010	408744	-
YDR298C	ATP5		S000002706	Respiration	"Subunit 5 of the stator stalk of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; homologous to bovine subunit OSCP (oligomycin sensitivity-conferring protein); phosphorylated"	IV	1058176	1058814	-
YKL016C	ATP7	ATP synthase	S000001499	Respiration	"Subunit d of the stator stalk of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis"	XI	407465	407989	-
YNL259C	ATX1	AnTioXidant	S000005203	Respiration	"Cytosolic copper metallochaperone; transports copper to the secretory vesicle copper transporter Ccc2p for eventual insertion into Fet3p, which is a multicopper oxidase required for high-affinity iron uptake; human homolog ATOX1 can complement yeast atx1 mutant; overexpression of human ATOX1 suppresses lysine auxotrophy of the yeast sod1 null mutant, as does overexpression of yeast ATX1"	XIV	157644	157865	-
YBL089W	AVT5	Amino acid Vacuolar Transport	S000000185	Respiration	"Putative transporter; member of a family of seven S. cerevisiae genes (AVT1-7) related to vesicular GABA-glycine transporters; AVT5 has a paralog, AVT6, that arose from the whole genome duplication"	II	49574	50953	+
YDR375C	BCS1		S000002783	Respiration	"Protein translocase and chaperone required for Complex III assembly; member of the AAA ATPase family; forms a homo-oligomeric complex in the mitochondrial inner membrane that translocates the C-terminal domain of Rip1p from the matrix across the inner membrane and delivers it to an assembly intermediate of respiratory Complex III; also required for assembly of the Qcr10p subunit; mutation is functionally complemented by human homolog BCS1L, linked to neonatal diseases"	IV	1225166	1226536	-
YPL084W	BRO1	BCK1-like Resistance to Osmotic shock	S000006005	Respiration	Cytoplasmic class E vacuolar protein sorting (VPS) factor; coordinates deubiquitination in the multivesicular body (MVB) pathway by recruiting Doa4p to endosomes	XVI	394038	396572	+
YEL029C	BUD16	BUD site selection	S000000755	Respiration	"Putative pyridoxal kinase; a key enzyme involved in pyridoxal 5'-phosphate synthesis, the active form of vitamin B6; required for genome integrity; involved in bud-site selection; similarity to yeast BUD17 and human pyridoxal kinase (PDXK)"	V	96858	97796	-
YMR275C	BUL1	Binds Ubiquitin Ligase	S000004888	Respiration	"Ubiquitin-binding component of the Rsp5p E3-ubiquitin ligase complex; disruption causes temperature-sensitive growth, overexpression causes missorting of amino acid permeases; BUL1 has a paralog, BUL2, that arose from the whole genome duplication"	XIII	815651	818581	-
YJR122W	CAF17	Iron-sulfur cluster assembly factor for Biotin synthase and Aconitase-like mitochondrial proteins	S000003883	Respiration	Protein involved in incorporating iron-sulfur clusters into proteins; mitochondrial matrix protein; involved in the incorporation of iron-sulfur clusters into mitochondrial aconitase-type proteins; activates the radical-SAM family members Bio2p and Lip5p; interacts with Ccr4p in the two-hybrid system	X	649776	651269	+
YOR125C	CAT5	CATabolite repression	S000005651	Respiration	Protein required for ubiquinone (Coenzyme Q) biosynthesis; localizes to the matrix face of the mitochondrial inner membrane in a large complex with ubiquinone biosynthetic enzymes; required for gluconeogenic gene activation	XV	559030	559731	-
YMR280C	CAT8	CATabolite repression	S000004893	Respiration	"Zinc cluster transcriptional activator; necessary for derepression of a variety of genes under non-fermentative growth conditions, active after diauxic shift, binds carbon source responsive elements; relative distribution to the nucleus increases upon DNA replication stress"	XIII	827028	831329	-
YJL209W	CBP1	Cytochrome B mRNA Processing	S000003745	Respiration	"Mitochondrial protein, regulator of COB mRNA stability and translation; interacts with the 5'-untranslated region of the COB mRNA; found in a complex at the inner membrane along with Pet309p; localizes to mitochondrial foci upon DNA replication stress"	X	38005	39969	+
YHL038C	CBP2	Cytochrome B mRNA Processing	S000001030	Respiration	Required for splicing of the group I intron bI5 of the COB pre-mRNA; nuclear-encoded mitochondrial protein that binds to the RNA to promote splicing; also involved in but not essential for splicing of the COB bI2 intron and the intron in the 21S rRNA gene	VIII	23617	25509	-
YPL215W	CBP3	Cytochrome B mRNA Processing	S000006136	Respiration	"Mitochondrial protein required for assembly of cytochrome bc1 complex; forms a complex with Cbp6p that binds to mt ribosomes near the polypeptide tunnel exit and promotes efficient translation of the COB mRNA; Cbp3p-Cbp6p complex also interacts with newly synthesized cytochrome b (Cobp) and Cbp4p to promote assembly of Cobp into the cytochrome bc1 complex; Cbp3p-Cbp6p complex is sequestered if assembly of Complex III is blocked, downregulating COB mRNA translation"	XVI	147416	148423	+
YGR174C	CBP4	Cytochrome B mRNA Processing	S000003406	Respiration	Mitochondrial protein required for assembly of cytochrome bc1 complex; interacts with the Cbp3p-Cbp6p complex and newly synthesized cytochrome b (Cobp) to promote assembly of Cobp into the cytochrome bc1 complex	VII	845893	846405	-
YDL069C	CBS1	Cytochrome B Synthesis	S000002227	Respiration	"Mitochondrial translational activator of the COB mRNA; membrane protein that interacts with translating ribosomes, acts on the COB mRNA 5'-untranslated leader"	IV	333121	333810	-
YDR197W	CBS2	Cytochrome B Synthesis	S000002605	Respiration	"Mitochondrial translational activator of the COB mRNA; interacts with translating ribosomes, acts on the COB mRNA 5'-untranslated leader"	IV	851228	852397	+
YKL208W	CBT1		S000001691	Respiration	"Protein involved in 5' RNA end processing; substrates include mitochondrial COB, 15S_rRNA, and RPM1 transcripts; may also have a role in 3' end processing of the COB pre-mRNA; displays genetic interaction with cell cycle-regulated kinase Dbf2p"	XI	47157	47972	+
YDR270W	CCC2	Cross-Complements Ca(2+) phenotype of csg1	S000002678	Respiration	Cu(+2)-transporting P-type ATPase; required for export of copper from the cytosol into an extracytosolic compartment; similar to human proteins involved in Menkes and Wilsons diseases; protein abundance increases in response to DNA replication stress; affects TBSV model (+)RNA virus replication by regulating copper metabolism; human homologs ATP7A and ATP7B both complement yeast null mutant	IV	1005675	1008689	+
YGR150C	CCM1		S000003382	Respiration	Mitochondrial 15S rRNA-binding protein; required for intron removal of COB and COX1 pre-mRNAs; has separable roles in stabilizing mitochondrial 15S rRNA and in maturation of the COB and COX1 mRNAs; contains pentatricopeptide repeat (PPR) motifs; mutant is respiratory deficient and has defective plasma membrane electron transport	VII	790459	793053	-
YGL190C	CDC55		S000003158	Respiration	"Regulatory subunit B of protein phosphatase 2A (PP2A); Zds1p/2p-dependent localization to cytoplasm promotes mitotic entry; localization to nucleus prevents mitotic exit; required for correct nuclear division, chromosome segregation during achiasmate meiosis; maintains nucleolar sequestration of Cdc14p during early meiosis; limits formation of PP2A-Rts1p holocomplexes to ensure timely dissolution of sister chromosome cohesion; homolog of mammalian B55"	VII	145809	147389	-
YER061C	CEM1	Condensing Enzyme with Mitochondrial function	S000000863	Respiration	Mitochondrial beta-keto-acyl synthase; possible role in fatty acid synthesis; required for mitochondrial respiration; human homolog OXSM can complement yeast cem1 null mutant	V	278298	279626	-
YMR138W	CIN4	Chromosome INstability	S000004746	Respiration	"GTP-binding protein involved in beta-tubulin (Tub2p) folding; isolated as mutant with increased chromosome loss and sensitivity to benomyl; regulated by the GTPase-activating protein, Cin2p, the human retinitis pigmentosa 2 (RP2) homolog"	XIII	545155	545730	+
YNR001C	CIT1	CITrate synthase	S000005284	Respiration	"Citrate synthase; catalyzes the condensation of acetyl coenzyme A and oxaloacetate to form citrate; the rate-limiting enzyme of the TCA cycle; nuclear encoded mitochondrial protein; CIT1 has a paralog, CIT2, that arose from the whole genome duplication"	XIV	629622	631061	-
YGR167W	CLC1	Clathrin Light Chain	S000003399	Respiration	Clathrin light chain; subunit of the major coat protein involved in intracellular protein transport and endocytosis; regulates endocytic progression; thought to regulate clathrin function; the clathrin triskelion is a trimeric molecule composed of three heavy chains that radiate from a vertex and three light chains which bind noncovalently near the vertex of the triskelion	VII	832456	833157	+
YKL137W	CMC1		S000001620	Respiration	Copper-binding protein of the mitochondrial intermembrane space; evolutionarily conserved; may be involved in delivering copper from the matrix to the cytochrome c oxidase complex; contains a twin CX9C motif	XI	185957	186292	+
YIL157C	COA1	Cytochrome Oxidase Assembly	S000001419	Respiration	Mitochondrial inner membrane protein; required for assembly of the cytochrome c oxidase complex (complex IV); interacts with complex IV assembly factor Shy1p during the early stages of assembly	IX	46949	47542	-
YJL062W-A	COA3	Cytochrome Oxidase Assembly	S000007611	Respiration	Mitochondrial protein required for cytochrome c oxidase assembly; also involved in translational regulation of Cox1p and prevention of Cox1p aggregation before assembly; located in the mitochondrial inner membrane	X	316723	316980	+
YLR218C	COA4	Cytochrome Oxidase Assembly	S000004208	Respiration	Twin Cx(9)C protein involved in cytochrome c oxidase organization; organization includes assembly or stability; localizes to the mitochondrial intermembrane space via the Mia40p-Erv1p system; interacts genetically with CYC1 and with cytochrome c oxidase assembly factors	XII	573466	573918	-
YGL223C	COD3	Conserved Oligomeric Golgi complex	S000003191	Respiration	Essential component of the conserved oligomeric Golgi complex; a cytosolic tethering complex (Cog1p through Cog8p) that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments	VII	79112	80365	-
YBR003W	COQ1	COenzyme Q	S000000207	Respiration	Hexaprenyl pyrophosphate synthetase; catalyzes the first step in ubiquinone (coenzyme Q) biosynthesis	II	242809	244230	+
YOL008W	COQ10	COenzyme Q	S000005368	Respiration	Coenzyme Q (ubiquinone) binding protein; functions in the delivery of Q<sub>6</sub> to its proper location for electron transport during respiration; START domain protein with homologs in bacteria and eukaryotes; respiratory growth defect of the null mutant is functionally complemented by human COQ10A	XV	310312	310935	+
YNR041C	COQ2	COenzyme Q	S000005324	Respiration	"Para hydroxybenzoate polyprenyl transferase; catalyzes the second step in ubiquinone (coenzyme Q) biosynthesis; human COQ2, mutations in which are implicated in an increased risk of mutiple-system atrophy, can complement a yeast coq2 null mutant"	XIV	700541	701659	-
YOL096C	COQ3	COenzyme Q	S000005456	Respiration	O-methyltransferase; catalyzes two different O-methylation steps in ubiquinone (Coenzyme Q) biosynthesis; component of a mitochondrial ubiquinone-synthesizing complex; phosphoprotein	XV	138107	139045	-
YDR204W	COQ4	COenzyme Q	S000002612	Respiration	Protein with a role in ubiquinone (Coenzyme Q) biosynthesis; possibly functioning in stabilization of Coq7p; located on matrix face of mitochondrial inner membrane; component of a mitochondrial ubiquinone-synthesizing complex; human homolog COQ4 can complement yeast coq4 null mutant	IV	858137	859144	+
YML110C	COQ5	COenzyme Q	S000004578	Respiration	"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase; involved in ubiquinone (Coenzyme Q) biosynthesis; localizes to the matrix face of the mitochondrial inner membrane in a large complex with other ubiquinone biosynthetic enzymes; respiratory defect of the null mutant is partially complemented by human COQ5"	XIII	50031	50954	-
YGR255C	COQ6	COenzyme Q	S000003487	Respiration	Flavin-dependent monooxygenase involved in ubiquinone biosynthesis; responsible for hydroxylation at position C5 and deamination at C4 during ubiquinone (Coenzyme Q) biosynthesis; localizes to matrix face of mitochondrial inner membrane in a large complex with other ubiquinone biosynthetic enzymes; human homolog COQ6 can complement yeast null mutant and is implicated in steroid-resistant nephrotic syndrome (SRNS)	VII	1002523	1003962	-
YLR201C	COQ9	COenzyme Q	S000004191	Respiration	Protein required for ubiquinone biosynthesis and respiratory growth; localizes to matrix face of mitochondrial inner membrane in a large complex with ubiquinone biosynthetic enzymes; ubiquinone is also known as coenzyme Q; human homolog COQ9 can complement yeast coq9 null mutant	XII	549511	550293	-
YBL045C	COR1	CORe protein of QH2 cytochrome c reductase	S000000141	Respiration	Core subunit of the ubiquinol-cytochrome c reductase complex; the ubiquinol-cytochrome c reductase complex (bc1 complex) is a component of the mitochondrial inner membrane electron transport chain	II	134143	135516	-
YPL172C	COX10	Cytochrome c OXidase	S000006093	Respiration	Heme A:farnesyltransferase; catalyzes first step in conversion of protoheme to heme A prosthetic group required for cytochrome c oxidase activity; human ortholog COX10 can complement yeast cox10 null mutant; human ortholog COX10 is associated with mitochondrial disorders	XVI	224353	225741	-
YPL132W	COX11	Cytochrome c OXidase	S000006053	Respiration	Protein required for delivery of copper to Cox1p; mitochondrial inner membrane protein; association with mitochondrial ribosomes suggests that copper delivery may occur during translation of Cox1p	XVI	301716	302618	+
YLR038C	COX12	Cytochrome c OXidase	S000004028	Respiration	"Subunit VIb of cytochrome c oxidase; cytochrome c oxidase is also known as respiratory Complex IV and is the terminal member of the mitochondrial inner membrane electron transport chain; required for assembly of cytochrome c oxidase but not required for activity after assembly; phosphorylated; easily released from the intermembrane space, suggesting a loose association with Complex IV"	XII	224921	225172	-
YML129C	COX14	Cytochrome c OXidase	S000004598	Respiration	Mitochondrial cytochrome c oxidase (complex IV) assembly factor; also involved in translational regulation of Cox1p and prevention of Cox1p aggregation before assembly; associates with complex IV assembly intermediates and complex III/complex IV supercomplexes; located in the mitochondrial membrane	XIII	14541	14753	-
YER141W	COX15	Cytochrome c OXidase	S000000943	Respiration	"Heme a synthase; required for the hydroxylation of heme O to form heme A, an essential prosthetic group for cytochrome c oxidase; oligomerization is required for function"	V	453459	454919	+
YJL003W	COX16	Cytochrome c OXidase	S000003540	Respiration	Mitochondrial inner membrane protein; required for assembly of cytochrome c oxidase	X	432644	433000	+
YLL009C	COX17	Cytochrome c OXidase	S000003932	Respiration	"Copper metallochaperone that transfers copper to Sco1p and Cox11p; eventual delivery to cytochrome c oxidase; contains twin cysteine-x9-cysteine motifs; interacts with the MICOS complex, and interaction is promoted by copper ions; human homolog COX17 partially complements yeast null mutant"	XII	131205	131414	-
YGR062C	COX18	Cytochrome c OXidase	S000003294	Respiration	"Protein required for membrane insertion of C-terminus of Cox2p; mitochondrial integral inner membrane protein; interacts genetically and physically with Mss2p and Pnt1p; similar to S. cerevisiae Oxa1, N. crassa Oxa2p, and E. coli YidC; respiratory defect of the null mutant is functionally complemented by human COX18 carrying the N-terminal 54 amino acids of S. cerevisiae Cox18p"	VII	616328	617278	-
YLL018C-A	COX19	Cytochrome c OXidase	S000007245	Respiration	Protein required for cytochrome c oxidase assembly; located in the cytosol and mitochondrial intermembrane space; putative copper metallochaperone that delivers copper to cytochrome c oxidase; contains twin cysteine-x9-cysteine motifs	XII	108676	108972	-
YDR231C	COX20	Cytochrome c OXidase	S000002639	Respiration	Mitochondrial inner membrane protein; required for proteolytic processing of Cox2p and its assembly into cytochrome c oxidase	IV	926293	926910	-
YHR116W	COX23	Cytochrome c OXidase	S000001158	Respiration	Protein that functions in mitochondrial copper homeostasis; mitochondrial intermembrane space protein; essential for functional cytochrome oxidase expression; homologous to Cox17p; contains twin cysteine-x9-cysteine motifs	VIII	341665	342120	+
YNL052W	COX5A	Cytochrome c OXidase	S000004997	Respiration	"Subunit Va of cytochrome c oxidase; cytochrome c oxidase is the terminal member of the mitochondrial inner membrane electron transport chain; Cox5Ap is predominantly expressed during aerobic growth while its isoform Vb (Cox5Bp) is expressed during anaerobic growth; COX5A has a paralog, COX5B, that arose from the whole genome duplication"	XIV	531725	532186	+
YHR051W	COX6	Cytochrome c OXidase	S000001093	Respiration	Subunit VI of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain; expression is regulated by oxygen levels	VIII	209705	210151	+
YMR256C	COX7	Cytochrome c OXidase	S000004869	Respiration	Subunit VII of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain	XIII	778945	779127	-
YLR395C	COX8	Cytochrome c OXidase	S000004387	Respiration	Subunit VIII of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain	XII	909729	909965	-
YDL067C	COX9	Cytochrome c OXidase	S000002225	Respiration	Subunit VIIa of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain	IV	334217	334396	-
YDL142C	CRD1	CaRDiolipin synthase	S000002301	Respiration	"Cardiolipin synthase; produces cardiolipin, which is a phospholipid of the mitochondrial inner membrane that is required for normal mitochondrial membrane potential and function and for correct integration of membrane-multispanning proteins into the mitochondrial outer membrane; required to maintain tubular mitochondrial morphology and functions in mitochondrial fusion; also required for normal vacuolar ion homeostasis"	IV	201719	202570	-
YLR087C	CSF1	Cold Sensitive for Fermentation	S000004077	Respiration	"Protein required for fermentation at low temperature; plays a role in the maturation of secretory proteins; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"	XII	306855	315731	-
YIL036W	CST6	Chromosome STability	S000001298	Respiration	"Basic leucine zipper (bZIP) transcription factor from ATF/CREB family involved in stress-responsive regulatory network; mediates transcriptional activation of NCE103 in response to low CO2 levels; proposed to be a regulator of oleate responsive genes; involved in utilization of non-optimal carbon sources and chromosome stability; relocalizes to the cytosol in response to hypoxia; CST6 has a paralog, ACA1, that arose from the whole genome duplication"	IX	285666	287429	+
YPR124W	CTR1	Copper TRansport	S000006328	Respiration	High-affinity copper transporter of plasma membrane; mediates nearly all copper uptake under low copper conditions; transcriptionally induced at low copper levels and degraded at high copper levels; protein increases in abundance and relocalizes from nucleus to plasma membrane upon DNA replication stress; human homolog SLC31A1 can complement a yeast ctr1 ctr3 double deletion	XVI	786208	787428	+
YEL027W	CUP5	Vacuolar Membrane Atpase	S000000753	Respiration	Proteolipid subunit c of the V0 domain of vacuolar H(+)-ATPase; dicyclohexylcarbodiimide binding subunit; required for vacuolar acidification and important for copper and iron metal ion homeostasis	V	100769	101251	+
YCL007C	CWH36		S000000513	Respiration	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps verified ORF YCL005W-A; mutations in YCL007C were thought to confer sensitivity to calcofluor white, but this phenotype was later shown to be due to the defect in YCL005W-A"	III	106974	107366	-
YJR048W	CYC1	CYtochrome C	S000003809	Respiration	"Cytochrome c, isoform 1; also known as iso-1-cytochrome c; electron carrier of mitochondrial intermembrane space that transfers electrons from ubiquinone-cytochrome c oxidoreductase to cytochrome c oxidase during cellular respiration; CYC1 has a paralog, CYC7, that arose from the whole genome duplication; human homolog CYC1 can complement yeast null mutant; mutations in human CYC1 cause insulin-responsive hyperglycemia"	X	526335	526664	+
YOR037W	CYC2	CYtochrome C	S000005563	Respiration	Mitochondrial peripheral inner membrane protein; contains a FAD cofactor in a domain exposed in the intermembrane space; exhibits redox activity in vitro; likely participates in ligation of heme to acytochromes c and c1 (Cyc1p and Cyt1p)	XV	401555	402655	+
YAL039C	CYC3	CYtochrome C	S000000037	Respiration	"Cytochrome c heme lyase (holocytochrome c synthase); attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in mitochondrial intermembrane space; human homolog HCCS implicated in microphthalmia with linear skin defects (MLS), and can complement yeast null mutant"	I	68716	69525	-
